,Julian.Julian1,Julian.Julian2,Julian.Julian3,Maxhum.max.hum1,Maxhum.max.hum2,Maxhum.max.hum3,Maxtemp.max.temp1,Maxtemp.max.temp2,Maxtemp.max.temp3,Meanhum.mean.hum1,Meanhum.mean.hum2,Meanhum.mean.hum3,Meantemp.mean.temp1,Meantemp.mean.temp2,Meantemp.mean.temp3,Minhum.min.hum1,Minhum.min.hum2,Minhum.min.hum3,Mintemp.min.temp1,Mintemp.min.temp2,Mintemp.min.temp3,sdhum.sd.hum1,sdhum.sd.hum2,sdhum.sd.hum3,sdtemp.sd.temp1,sdtemp.sd.temp2,sdtemp.sd.temp3
17,182.0236227,183.0236227,184.0236227,94,100,100,26,25,25,81.81818182,95.45454545,91.81818182,15.72727273,18.81818182,14.54545455,50,62,61,12,17,10,14.24653068,11.66502153,12.12285595,4.383854676,2.713602101,4.633867421
18,180.0402894,181.0402894,182.0402894,60,63,67,25,27,26,49.72727273,49.18181818,53,19,20.54545455,19.90909091,32,32,38,16,16,17,8.787387656,10.71277911,9.622889379,3.130495168,3.615622667,2.844452336
19,180.0277894,181.0277894,182.0277894,64,69,72,24,26,26,54.45454545,58.18181818,62.09090909,17.45454545,19.45454545,18.90909091,39,42,50,15,15,15,8.153080845,8.807021992,6.905860489,3.205109557,3.531674854,3.3601948
20,181.0583449,182.0583449,183.0583449,71,74,100,22,19,23,65.54545455,67.63636364,93.63636364,17.36363636,16.54545455,16.90909091,58,64,48,16,16,15,3.856517506,3.009077177,16.0703001,1.963299634,1.035725481,2.427119505
21,181.038206,182.038206,183.038206,57,57,96,29,20,25,50,53,82.45454545,20.18181818,18.27272727,17.36363636,34,44,48,18,17,16,5.93295879,3.974921383,15.90825972,3.092512953,0.786245393,2.802596199
22,182.0340394,183.0340394,184.0340394,99,100,100,18,21,17,91.90909091,97.45454545,100,12.72727273,16.18181818,12,80,78,100,10,14,9,6.425800269,6.698710866,0,2.935673997,2.040499048,2.898275349
23,181.0312616,182.0312616,183.0312616,67,69,95,33,31,33,56.18181818,58.81818182,70.09090909,24.09090909,23.18181818,24.63636364,40,48,39,20,20,22,8.047585748,5.946733251,18.96024549,4.011347541,3.429815792,3.529099808
24,189.0562616,190.0562616,191.0562616,100,100,100,12,11,14,100,100,98.09090909,8.909090909,9.454545455,8.545454545,100,100,84,6,8,5,0,0,4.908249086,1.972538743,1.368476259,2.910794955
25,187.0534838,188.0534838,189.0534838,74,73,89,20,19,17,66.81818182,67.90909091,79,16.90909091,16.63636364,15.09090909,55,63,66,15,15,13,6.77964869,2.948034785,7.707139547,1.700267359,1.361816968,1.300349603
26,188.0298727,189.0298727,190.0298727,100,100,100,14,10,9,88.90909091,28.27272727,99.90909091,11,7.272727273,6.818181818,76,0,99,8,6,5,8.117321547,46.11743902,0.301511345,1.673320053,1.348399725,1.328019715
27,188.03,189.03,190.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,188.0465394,189.0465394,190.0465394,100,100,100,14,11,11,88.45454545,100,100,10.18181818,7.454545455,7,79,100,100,8,5,4,7.724812443,0,0,1.662418829,1.752919642,2.366431913
29,189.0611227,190.0611227,191.0611227,100,100,100,13,13,15,100,100,98.18181818,10.90909091,10.54545455,10.54545455,100,100,86,9,8,7,0,0,4.423079964,1.578261414,1.752919642,2.659459959
30,194.0284838,195.0284838,196.0284838,100,100,100,16,16,17,92.27272727,92.90909091,93.27272727,7.090909091,7.545454545,10.18181818,49,60,66,4,5,7,15.60827286,13.31506324,10.50800561,3.618136135,3.357488239,2.926369143
31,194.0472338,195.0472338,196.0472338,96,100,81,14,13,17,83,85.18181818,74.63636364,7.909090909,7.636363636,11.54545455,51,56,51,5,5,9,12.9614814,12.40820843,8.61710772,2.662876094,2.110579412,2.296241989
32,194.0555671,195.0555671,196.0555671,100,100,97,14,15,18,82.81818182,90.54545455,66.09090909,6.727272727,7.363636364,11.72727273,58,55,57,3,5,10,17.36558771,15.35163598,10.70004248,3.523944071,2.975658827,2.284333999
33,195.0597338,196.0597338,197.0597338,78,68,81,19,21,24,65.09090909,55,66.54545455,14.54545455,17.09090909,18.54545455,49,41,50,11,14,15,8.129631547,9.465727653,9.729991124,2.423371056,2.211539982,2.944949452
34,195.0416782,196.0416782,197.0416782,77,62,75,19,21,23,67,56.54545455,66.18181818,13.27272727,15.81818182,16.45454545,50,44,50,11,14,15,7.252585746,5.260487361,7.01167857,2.240129866,1.990888335,2.50454133
35,196.044456,197.044456,198.044456,87,97,78,24,25,24,68.63636364,72.90909091,66.45454545,15.18181818,16.72727273,15.54545455,46,46,39,10,12,12,12.70647652,15.67453059,12.40454462,4.354725751,4.221158824,3.724611023
36,196.050706,197.050706,198.050706,78,82,69,25,26,25,61.72727273,66,59,16.72727273,18.09090909,17.18181818,40,47,36,12,13,14,11.76512566,12.29634092,10.59245014,4.221158824,4.369314488,3.868285972
37,201.0520949,202.0520949,203.0520949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,201.0520949,202.0520949,203.0520949,88,75,64,25,31,24,82.72727273,65.09090909,53.63636364,22,23.27272727,17.72727273,78,37,43,20,19,14,3.466724941,12.27562255,6.652408996,1.788854382,3.849439156,3.258555173
39,202.056956,203.056956,204.056956,100,70,88,14,17,16,100,63.18181818,61.36363636,12.72727273,11.27272727,9.727272727,100,40,33,11,9,6,0,8.471342064,15.46785523,0.786245393,2.284333999,2.7601054
40,202.0541782,203.0541782,204.0541782,100,59,56,14,14,14,93.54545455,53,48.18181818,12.27272727,10.45454545,10,87,41,35,11,9,9,4.967164913,4.647580015,5.741396726,0.786245393,1.507556723,1.483239697
41,203.0208449,204.0208449,205.0208449,95,90,88,20,19,21,75.09090909,71,64.27272727,9.727272727,9.454545455,10,30,31,28,5,5,4,21.65850662,18.62793601,19.80449903,4.900834808,4.321195121,5.495452666
42,202.0458449,203.0458449,204.0458449,100,99,91,13,16,16,98.54545455,81.36363636,72.63636364,11,7.636363636,6.727272727,84,42,29,9,4,3,4.824181513,17.56287407,21.48614776,1.264911064,3.668043819,4.027180381
43,207.0361227,208.0361227,209.0361227,89,49,53,19,19,20,63.18181818,38,32.90909091,11.63636364,12.18181818,13.27272727,32,25,21,7,8,9,21.03719649,8.124038405,9.126385324,4.105428778,3.736794932,3.466724941
44,207.03125,208.03125,209.03125,77,51,55,21,23,25,54.18181818,35,35.90909091,14.45454545,14.63636364,14.54545455,32,21,16,9,9,9,14.72289497,8.44985207,12.2511595,3.908033684,4.342182107,5.007267446
45,208.0597222,209.0597222,210.0597222,47,56,64,21,23,26,38.09090909,37.63636364,44.45454545,15.63636364,17.09090909,18.90909091,26,21,18,12,13,14,6.155559202,12.87845276,17.65991867,3.009077177,3.113022501,4.060900035
46,208.0597222,209.0597222,210.0597222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,209.0250116,210.0250116,211.0250116,64,61,68,30,30,31,41.72727273,41.27272727,47.36363636,16.09090909,18,19.54545455,14,16,21,8,11,12,16.49903578,15.14655676,14.91491017,7.091608357,6.131883887,6.022684391
48,209.0270833,210.0270833,211.0270833,36,42,44,22,26,29,32.18181818,34.45454545,33.54545455,14.90909091,17.63636364,20.27272727,23,21,21,12,14,16,3.816233269,6.137811277,8.165336936,3.080731908,3.640679257,4.360984042
49,209.0583333,210.0583333,211.0583333,27,33,41,20,23,25,24.27272727,28.81818182,33.90909091,16.72727273,18.45454545,19.81818182,21,23,25,14,17,17,1.555050423,2.96034396,5.575922264,1.555050423,1.809068067,2.676497032
