ID,LAT,LONG,START DATE,END DATE,CANOPY COVER N,CANOPY COVER E,CANOPY COVER S,CANOPY COVER W,CANOPY COVER C,WOOD N,WOOD E,WOOD S,WOOD W,HERB N,HERB E,HERB S,HERB W,GRASS N,GRASS E,GRASS S,GRASS W,NAKED SOIL N,NAKED SOIL E,NAKED SOIL S,NAKED SOIL W,ROCKY SCREE N,ROCKY SCREE E,ROCKY SCREE S,ROCKY SCREE W,DOWN WOOD N,DOWN WOOD E,DOWN WOOD S,DOWN WOOD W,LEAF LITTER N,LEAF LITTER E,LEAF LITTER S,LEAF LITTER W
H3NFS4,39.98629,-121.01048,15-07-2015,18-07-2015,91,90,76,79,95,8,5,3,4,0,0,1,0,0,0,0,0,0,5,10,0,0,0,0,0,10,15,13,19,32,25,23,27
H3FS1,40.01896,-121.25504,20-07-2015,23-07-2015,3,11,0,16,18,11,37,19,26,0,0,3,0,5,9,14,1,6,2,7,1,17,1,6,8,8,1,0,12,3,0,1,1
H3FS12,39.90181,-121.35343,20-07-2015,23-07-2015,34,21,85,44,48,10,2,1,5,2,0,0,0,7,0,2,5,12,0,0,19,16,47,47,18,0,0,0,3,3,1,0,0
H1FS5,40.21116,-120.81617,21-07-2015,24-07-2015,3,37,17,24,14,23,12,12,23,1,5,0,3,2,5,4,5,1,5,3,0,13,16,28,14,10,7,3,5,0,0,0,0
H1FS4,40.16163,-120.75518,21-07-2015,24-07-2015,9,41,50,18,61,3,1,1,3,4,1,0,6,1,0,0,5,5,5,9,12,0,0,0,1,14,6,13,6,23,37,27,17
H3NFS3,39.70433,-120.53036,22-07-2015,25-07-2015,52,12,86,46,61,2,15,7,3,6,5,5,2,0,0,0,7,1,9,0,8,0,8,6,3,18,7,1,8,23,6,31,19
H5FS10,40.2607,-120.73995,21-07-2015,24-07-2015,0,0,0,0,0,4,6,7,4,1,4,6,13,31,15,12,23,10,10,17,7,2,3,0,1,2,12,8,2,0,0,0,0
H2FS5,40.17303,-120.62178,26-07-2015,29-07-2015,0,12,0,0,2,21,9,18,28,3,1,0,1,1,3,6,1,4,15,8,12,18,17,4,3,1,4,4,3,2,1,1,5
H2FS2,40.19218,-120.57217,26-07-2015,29-07-2015,0,0,5,0,21,7,4,6,7,2,2,1,1,1,0,2,0,19,24,17,21,5,18,19,21,1,0,5,0,15,2,0,0
H4FS9,40.15781,-121.09054,27-07-2015,30-07-2015,37,47,25,0,81,1,2,2,4,2,0,1,2,0,0,3,0,1,4,4,18,0,3,0,0,33,14,18,15,13,27,22,11
H4FS1,40.11581,-121.0792,27-07-2015,30-07-2015,68,59,79,85,89,3,1,2,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,22,17,44,19,21,29,4,30
H3NFS10,40.00171,-120.95788,28-07-2015,31-07-2015,17,38,70,61,83,1,9,4,9,10,0,2,0,1,0,4,0,8,1,2,4,11,1,1,7,0,7,8,1,19,32,29,9
H2NFS6,39.81866,-120.54942,28-07-2015,31-07-2015,66,48,39,43,54,0,2,5,5,3,1,6,5,0,0,0,3,3,3,1,3,0,1,0,0,7,3,3,11,37,40,35,23
H1NFS5,39.94068,-120.76662,28-07-2015,31-07-2015,49,62,55,20,81,22,33,10,22,0,0,1,0,0,0,0,0,2,3,11,6,11,1,4,9,7,7,18,5,8,6,6,8
